feature,importance_mean,importance_std
num__Region_Code,0.0,0.0
num__id,-1.3119571776853967e-06,9.1837002439881e-06
num__Policy_Sales_Channel,-1.3119571777131522e-05,1.9459469673018577e-05
num__Annual_Premium,-2.361522919882564e-05,5.247828710874813e-06
cat__Gender_Female,-2.8863057909722656e-05,2.4753958521297187e-05
cat__Vehicle_Age_1-2 Year,-3.411088662058637e-05,1.5743486132600386e-05
num__Age,-3.542284379830507e-05,2.6271922010044274e-05
num__Vintage,-3.804675815373137e-05,7.0651056219182696e-06
num__Previously_Insured,-4.4606544042335995e-05,3.4810157596025674e-05
num__Driving_License,-5.247828710863711e-05,2.4892637245184472e-05
cat__Gender_Male,-7.084568759669896e-05,2.049342624416182e-05
